Date,Price,Open,High,Low,Vol.,Change %
Dec-00,"1,320.28","1,314.95","1,389.05","1,254.07",-,0.41%
Nov-00,"1,314.95","1,429.40","1,438.46","1,294.90",-,-8.01%
Oct-00,"1,429.40","1,436.52","1,454.82","1,305.79",-,-0.49%
Sep-00,"1,436.51","1,517.68","1,530.09","1,419.44",-,-5.35%
Aug-00,"1,517.68","1,430.83","1,525.21","1,425.43",-,6.07%
Jul-00,"1,430.83","1,454.60","1,517.32","1,413.89",-,-1.63%
Jun-00,"1,454.60","1,420.60","1,488.93","1,420.60",-,2.39%
May-00,"1,420.60","1,452.43","1,481.51","1,361.09",-,-2.19%
Apr-00,"1,452.43","1,498.58","1,527.19","1,339.40",-,-3.08%
Mar-00,"1,498.58","1,366.42","1,552.87","1,346.62",-,9.67%
Feb-00,"1,366.42","1,394.46","1,444.55","1,325.07",-,-2.01%
Jan-00,"1,394.46","1,469.25","1,478.00","1,350.14",-,-5.09%
